Año_x,Trimestre_x,Provincia_x,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Item,Año_y,Trimestre_y,Provincia_y,Accesos por cada 100 hogares
2021,3,Río Negro,47.934,44.519,18.725,15.031,18.376,144.585,2021Río Negro,2021.0,2.0,Río Negro,"61,94"
2021,3,Río Negro,47.934,44.519,18.725,15.031,18.376,144.585,2021Río Negro,2021.0,1.0,Río Negro,"60,88"
2021,3,Salta,49.212,98.318,36.126,5.724,6.453,195.833,2021Salta,2021.0,4.0,Salta,"56,81"
2021,3,Salta,49.212,98.318,36.126,5.724,6.453,195.833,2021Salta,2021.0,3.0,Salta,"55,96"
2021,3,Salta,49.212,98.318,36.126,5.724,6.453,195.833,2021Salta,2021.0,2.0,Salta,"54,93"
2021,3,Salta,49.212,98.318,36.126,5.724,6.453,195.833,2021Salta,2021.0,1.0,Salta,"53,93"
2021,3,San Juan,40.072,12.922,6.670,11.372,8.447,79.483,2021San Juan,2021.0,4.0,San Juan,"39,59"
2021,3,San Juan,40.072,12.922,6.670,11.372,8.447,79.483,2021San Juan,2021.0,3.0,San Juan,"39,46"
2021,3,San Juan,40.072,12.922,6.670,11.372,8.447,79.483,2021San Juan,2021.0,2.0,San Juan,"39,28"
2021,3,San Juan,40.072,12.922,6.670,11.372,8.447,79.483,2021San Juan,2021.0,1.0,San Juan,"39,06"
2021,3,San Luis,8.417,11.884,27,68.856,28.68,117.864,2021San Luis,2021.0,4.0,San Luis,"80,3"
2021,3,San Luis,8.417,11.884,27,68.856,28.68,117.864,2021San Luis,2021.0,3.0,San Luis,"79,87"
2021,3,San Luis,8.417,11.884,27,68.856,28.68,117.864,2021San Luis,2021.0,2.0,San Luis,"83,48"
2021,3,San Luis,8.417,11.884,27,68.856,28.68,117.864,2021San Luis,2021.0,1.0,San Luis,"81,24"
2021,3,Santa Cruz,12.347,22.961,6.328,4.269,3.071,48.976,2021Santa Cruz,2021.0,4.0,Santa Cruz,"43,05"
2021,3,Santa Cruz,12.347,22.961,6.328,4.269,3.071,48.976,2021Santa Cruz,2021.0,3.0,Santa Cruz,"43,75"
2021,3,Santa Cruz,12.347,22.961,6.328,4.269,3.071,48.976,2021Santa Cruz,2021.0,2.0,Santa Cruz,"44,01"
2021,3,Santa Cruz,12.347,22.961,6.328,4.269,3.071,48.976,2021Santa Cruz,2021.0,1.0,Santa Cruz,"41,65"
2021,3,Santa Fe,245.929,443.156,93.412,43.447,15.64,841.584,2021Santa Fe,2021.0,4.0,Santa Fe,"77,09"
2021,3,Santa Fe,245.929,443.156,93.412,43.447,15.64,841.584,2021Santa Fe,2021.0,3.0,Santa Fe,"75,02"
2021,3,Santa Fe,245.929,443.156,93.412,43.447,15.64,841.584,2021Santa Fe,2021.0,2.0,Santa Fe,"75,07"
2021,3,Santa Fe,245.929,443.156,93.412,43.447,15.64,841.584,2021Santa Fe,2021.0,1.0,Santa Fe,"73,92"
2021,3,Santiago Del Estero,19.939,85.535,909,6.147,2.928,115.458,2021Santiago Del Estero,2021.0,4.0,Santiago Del Estero,"47,05"
2021,3,Santiago Del Estero,19.939,85.535,909,6.147,2.928,115.458,2021Santiago Del Estero,2021.0,3.0,Santiago Del Estero,47
2021,3,Santiago Del Estero,19.939,85.535,909,6.147,2.928,115.458,2021Santiago Del Estero,2021.0,2.0,Santiago Del Estero,"46,56"
2021,3,Santiago Del Estero,19.939,85.535,909,6.147,2.928,115.458,2021Santiago Del Estero,2021.0,1.0,Santiago Del Estero,"45,67"
